time,0,1,2,3,4,5,6,7,8,9,10,11,12
3:45:27 PM,14.44,14.99,15.02,14.95,14.91,14.99,14.95,14.95,14.91,14.73,14.73,14.59,15.17
4:15:27 PM,14.44,16.04,16.04,15.93,16.15,16.15,16.01,16.08,16.04,15.82,15.9,15.9,16.33
4:45:27 PM,14.44,16.41,16.41,16.3,16.52,16.55,16.41,16.44,16.44,16.19,16.3,16.04,16.7
5:15:27 PM,14.44,16.52,15.24,16.44,15.21,15.28,15.13,15.28,14.81,16.33,16.44,16.08,16.81
5:45:27 PM,14.44,16.41,15.35,16.52,15.35,15.39,15.28,15.39,14.84,16.44,16.55,16.12,16.88
6:15:27 PM,14.41,16.44,15.39,16.55,15.39,15.46,15.31,15.5,14.77,15.39,16.59,16.15,16.92
6:45:27 PM,14.41,16.37,15.42,16.59,15.46,15.5,15.39,15.57,14.77,15.5,16.66,16.22,16.99
7:15:27 PM,14.41,16.41,15.46,16.59,15.46,15.53,15.42,15.68,14.73,15.53,16.66,16.22,17.03
7:45:27 PM,14.41,16.44,15.5,16.62,15.53,15.57,15.46,15.79,14.73,15.68,16.73,16.3,17.1
8:15:27 PM,14.41,16.33,15.53,16.62,15.57,15.61,15.5,15.9,14.77,15.75,16.77,16.37,17.13
8:45:27 PM,14.37,16.37,15.53,16.66,15.61,15.64,15.53,16.04,14.66,15.9,16.84,16.41,17.17
9:15:27 PM,14.37,16.37,15.57,16.7,15.64,15.68,15.57,16.19,14.73,16.01,16.88,16.44,17.21
9:45:27 PM,14.37,16.3,15.61,16.73,15.68,15.72,15.61,16.33,14.66,16.15,16.92,16.48,17.24
10:15:27 PM,14.33,16.33,15.64,16.73,15.72,15.72,15.64,15.28,14.66,16.3,16.95,16.52,17.28
10:45:27 PM,14.33,16.37,15.64,16.77,15.75,15.75,15.68,15.46,14.7,15.24,17.03,16.52,17.32
11:15:27 PM,14.33,16.22,15.68,16.81,15.79,15.79,15.72,15.64,14.66,15.42,17.06,16.55,17.35
11:45:27 PM,14.33,16.26,15.72,16.81,15.82,15.82,15.72,15.82,14.66,15.61,17.1,16.59,17.35
12:15:27 AM,14.33,16.3,15.72,16.81,15.82,15.82,15.75,15.97,14.66,15.72,17.1,16.59,17.35
12:45:27 AM,14.3,16.3,15.75,16.84,15.86,15.86,15.79,16.15,14.66,15.93,17.13,16.62,17.39
