time,0,1,2,3,4,5,6,7,8,9,10,11,12
3:45:27 PM,14.44,0,0,0,0,0,0,0,0,0,0,0,0
4:15:27 PM,14.44,1.06,1.02,0.98,1.24,1.16,1.06,1.13,1.13,1.09,1.16,1.31,1.16
4:45:27 PM,14.44,1.42,1.38,1.35,1.6,1.56,1.46,1.49,1.53,1.46,1.56,1.46,1.53
5:15:27 PM,14.44,1.53,1.56,1.49,1.82,1.75,1.67,1.71,,1.6,1.71,1.49,1.64
5:45:27 PM,14.44,1.56,1.67,1.56,1.97,1.86,1.82,1.82,,1.71,1.82,1.53,1.71
6:15:27 PM,14.41,1.6,1.71,1.6,2,1.93,1.86,1.93,,1.78,1.86,1.56,1.75
6:45:27 PM,14.41,1.64,1.75,1.64,2.07,1.97,1.93,2,,1.89,1.93,1.64,1.82
7:15:27 PM,14.41,1.67,1.78,1.64,2.07,2,1.97,2.11,,1.93,1.93,1.64,1.86
7:45:27 PM,14.41,1.71,1.82,1.67,2.15,2.04,2,2.22,,2.07,2,1.71,1.93
8:15:27 PM,14.41,1.75,1.86,1.67,2.18,2.07,2.04,2.33,,2.15,2.04,1.78,1.97
8:45:27 PM,14.37,1.78,1.86,1.71,2.22,2.11,2.07,2.47,,2.29,2.11,1.82,2
9:15:27 PM,14.37,1.78,1.89,1.75,2.26,2.15,2.11,2.62,,2.4,2.15,1.86,2.04
9:45:27 PM,14.37,1.86,1.93,1.78,2.29,2.18,2.15,2.77,,2.55,2.18,1.89,2.07
10:15:27 PM,14.33,1.89,1.97,1.78,2.33,2.18,2.18,3.09,,2.69,2.22,1.93,2.11
10:45:27 PM,14.33,1.93,1.97,1.82,2.37,2.22,2.22,3.28,,2.95,2.29,1.93,2.15
11:15:27 PM,14.33,1.93,2,1.86,2.4,2.26,2.26,3.46,,3.13,2.33,1.97,2.18
11:45:27 PM,14.33,1.97,2.04,1.86,2.44,2.29,2.26,3.64,,3.31,2.37,2,2.18
12:15:27 AM,14.33,2,2.04,1.86,2.44,2.29,2.29,3.78,,3.42,2.37,2,2.18
12:45:27 AM,14.3,2,2.07,1.89,2.47,2.33,2.33,3.97,,3.64,2.4,2.04,2.22
1:15:27 AM,14.3,2.04,2.07,1.93,2.51,2.37,2.33,4.11,,3.75,2.44,2.04,2.26
1:45:27 AM,14.3,2.07,2.11,1.93,2.55,2.37,2.37,4.44,,3.89,2.44,2.07,2.26
2:15:27 AM,14.3,2.11,2.15,1.97,2.58,2.4,2.4,4.66,,4.18,2.51,2.11,2.33
2:45:27 AM,14.3,2.15,2.15,2,2.62,2.44,2.44,4.84,,4.4,2.55,2.11,2.37
3:15:27 AM,14.3,2.18,2.18,2.04,2.62,2.47,2.47,4.99,,4.59,2.58,2.15,2.37
3:45:27 AM,14.3,2.18,2.22,2.04,2.66,2.51,2.47,5.13,,4.73,2.62,2.22,2.4
4:15:27 AM,14.26,2.26,2.22,2.04,2.69,2.51,2.51,5.28,,4.8,2.62,2.22,2.4
4:45:27 AM,14.26,2.29,2.26,2.04,2.69,2.55,2.55,5.42,,4.95,2.66,2.29,2.44
5:15:27 AM,14.3,2.29,2.26,2.04,2.73,2.58,2.58,5.64,,5.09,2.69,2.4,2.47
5:45:27 AM,14.3,2.33,2.29,2.04,2.73,2.58,2.58,5.86,,5.24,2.77,2.55,2.51
6:15:27 AM,14.3,2.37,2.33,2.04,2.8,2.62,2.62,6.04,,5.42,2.84,2.73,2.55
6:45:27 AM,14.3,2.4,2.37,2.04,2.84,2.66,2.66,6.15,,5.64,2.91,2.8,2.58
7:15:27 AM,14.3,2.4,2.37,2.04,2.84,2.66,2.66,6.26,,5.71,2.87,2.84,2.58
7:45:27 AM,14.3,2.44,2.37,2.04,2.84,2.66,2.69,6.37,,5.82,2.95,2.95,2.58
8:15:27 AM,14.33,2.47,2.4,2.04,2.87,2.69,2.73,6.48,,5.97,3.06,3.02,2.62
8:45:27 AM,14.33,2.47,2.4,2.04,2.91,2.69,2.73,6.59,,6.04,3.09,3.06,2.66
9:15:27 AM,14.33,2.47,2.44,2.22,2.91,2.73,2.77,6.7,,6.15,3.13,3.02,2.69
9:45:27 AM,14.33,2.51,2.44,2.33,2.95,2.73,2.77,6.81,,6.26,3.17,7.1,2.73
10:15:27 AM,14.33,2.58,2.47,2.4,3.09,2.77,2.8,6.91,0,6.37,3.24,7.46,2.8
10:45:27 AM,14.33,2.62,2.51,2.47,3.17,2.8,2.84,7.02,0.4,6.48,3.31,7.79,2.95
11:15:27 AM,14.33,2.62,2.55,2.51,3.2,2.84,2.87,7.1,0.91,6.55,3.35,7.64,3.02
11:45:27 AM,14.33,2.62,2.51,2.47,3.2,2.84,2.87,7.17,1.06,6.59,3.31,7.5,2.98
12:15:27 PM,14.33,2.66,2.55,2.47,3.2,2.84,2.87,7.24,1.16,6.66,3.38,7.53,3.06
12:45:27 PM,14.33,2.66,2.58,2.51,3.24,2.87,2.91,7.31,1.27,6.73,3.42,7.57,3.09
1:15:27 PM,14.33,2.69,2.58,2.55,3.28,2.87,2.91,7.39,1.35,6.84,3.46,7.61,3.13
1:45:27 PM,14.33,2.69,2.62,2.55,3.28,2.91,2.95,7.5,1.42,6.91,3.46,7.64,3.2
2:15:27 PM,14.33,2.73,2.66,2.62,3.35,2.95,2.98,7.61,1.53,7.02,3.53,7.71,3.28
2:45:27 PM,14.33,2.77,2.66,2.58,3.38,2.98,3.02,7.68,1.6,7.06,3.49,7.75,3.28
3:15:27 PM,14.33,2.77,2.69,2.62,3.38,2.98,3.02,7.75,1.67,7.13,3.53,7.82,3.35
3:45:27 PM,14.33,2.77,2.69,2.62,3.38,2.98,3.02,7.79,1.71,7.17,3.53,7.86,3.35
4:15:27 PM,14.33,2.8,2.69,2.62,3.42,3.02,3.06,7.86,1.78,7.24,3.57,7.93,3.42
4:45:27 PM,14.37,2.8,2.69,2.66,3.42,3.02,3.06,7.93,1.82,7.31,3.64,8.01,3.49
5:15:27 PM,14.37,2.84,2.73,2.69,3.46,3.06,3.13,8.04,1.93,7.42,3.75,8.12,3.64
5:45:27 PM,14.37,2.84,2.73,2.73,3.49,3.09,3.13,8.12,2,7.46,3.82,0,0
6:15:27 PM,14.37,2.87,2.77,2.73,3.53,3.09,3.13,8.19,2.07,7.57,3.89,1.31,1.16
6:45:27 PM,14.41,2.87,2.77,2.73,3.53,3.09,3.17,8.22,2.11,7.61,3.97,1.64,1.49
7:15:27 PM,14.41,2.87,2.77,2.73,3.53,3.09,3.17,8.3,2.18,7.64,4.08,1.86,1.71
7:45:27 PM,14.41,2.91,2.77,2.73,3.57,3.13,3.17,8.37,2.26,7.71,4.22,2.04,1.89
8:15:27 PM,14.44,2.91,2.8,2.73,3.57,3.13,3.2,8.44,2.33,7.79,4.4,2.26,2.07
8:45:27 PM,14.44,2.91,2.8,2.77,3.6,3.17,3.2,8.52,2.37,7.86,4.55,2.47,2.29
9:15:27 PM,14.44,2.95,2.84,2.8,3.64,3.2,3.24,8.59,2.47,7.93,4.77,2.69,2.51
9:45:27 PM,14.48,2.95,2.87,2.84,3.68,3.24,3.28,8.66,2.55,8.01,4.99,2.98,2.77
10:15:27 PM,14.48,2.95,2.87,2.84,3.68,3.24,3.28,8.73,2.58,8.08,5.2,3.31,3.06
10:45:27 PM,14.48,2.95,2.91,2.87,3.71,3.28,3.31,8.81,2.69,8.12,5.49,3.64,3.35
11:15:27 PM,14.48,2.95,2.87,2.84,3.71,3.28,3.31,8.84,2.69,8.15,5.71,4,3.68
11:45:27 PM,14.48,2.95,2.91,2.87,3.75,3.28,3.31,8.92,2.77,8.22,6.08,4.4,4.08
12:15:27 AM,14.48,2.95,2.91,2.87,3.75,3.31,3.35,8.99,2.84,8.3,6.33,4.88,4.48
12:45:27 AM,14.48,2.95,2.91,2.87,3.75,3.31,3.35,9.02,2.87,8.33,6.73,5.75,4.91
1:15:27 AM,14.48,2.95,2.91,2.91,3.78,3.35,3.38,9.1,2.95,8.41,7.13,6.4,5.79
1:45:27 AM,14.48,2.95,2.95,2.95,3.82,3.35,3.38,9.1,2.98,8.44,7.86,7.06,6.4
2:15:27 AM,14.48,2.95,2.95,2.95,3.82,3.38,3.42,9.1,3.06,8.52,8.37,7.86,7.02
2:45:27 AM,14.48,2.95,2.95,2.98,3.86,3.38,3.42,9.1,3.09,8.55,8.92,8.88,7.9
3:15:27 AM,14.48,2.95,2.98,2.98,3.89,3.42,3.46,9.1,3.17,8.59,9.72,9.72,8.73
3:45:27 AM,14.48,2.95,2.98,3.02,3.89,3.42,3.46,9.1,3.2,8.66,10.41,10.84,9.46
4:15:27 AM,14.48,2.95,2.98,3.02,3.89,3.42,3.49,9.1,3.24,8.66,11.1,11.94,10.23
4:45:27 AM,14.48,2.95,3.02,3.02,3.93,3.46,3.49,9.1,3.31,8.73,12.15,12.88,11.5
5:15:27 AM,14.48,2.95,3.02,3.06,3.97,3.46,3.53,9.1,3.35,8.77,13.03,14.34,12.41
5:45:27 AM,14.48,2.95,3.06,3.06,3.97,3.49,3.53,9.1,3.38,8.84,13.9,15.36,13.76
6:15:27 AM,14.48,2.95,3.06,3.09,4,3.53,3.57,9.1,3.46,8.88,15.07,16.89,14.7
6:45:27 AM,14.48,2.95,3.06,3.09,4,3.53,3.57,9.1,3.49,8.92,16.08,18.01,16.01
7:15:27 AM,14.48,2.95,3.09,3.09,4.04,3.57,3.6,9.1,3.53,8.95,17.5,19.61,17.07
7:45:27 AM,14.48,2.95,3.09,3.13,4.04,3.57,3.6,9.1,3.57,9.02,18.56,20.74,18.49
8:15:27 AM,14.59,3.28,3.09,3.13,4.08,3.6,3.64,9.83,3.64,9.06,20.09,22.45,19.61
8:45:27 AM,14.59,3.28,3.13,3.17,4.11,3.64,3.64,9.86,3.68,9.1,21.22,23.69,21.14
9:15:27 AM,14.59,3.28,3.17,3.17,4.11,3.64,3.68,9.93,3.71,9.13,22.82,25.51,22.38
9:45:27 AM,14.62,3.31,3.17,3.17,4.15,3.64,3.68,9.97,3.75,9.21,24.31,27.22,24.09
10:15:27 AM,14.59,3.31,3.17,3.2,4.15,3.68,3.71,10.01,3.82,9.24,25.69,28.6,25.33
10:45:27 AM,14.62,3.35,3.17,3.2,4.18,3.71,3.71,10.04,3.86,9.28,27.58,30.53,27.11
11:15:27 AM,14.62,3.35,3.2,3.2,4.18,3.71,3.75,10.08,3.89,9.32,28.82,31.99,29
11:45:27 AM,14.59,3.28,3.13,3.13,4.22,3.75,3.78,10.12,3.97,9.39,31.73,33.95,30.42
12:15:27 PM,14.59,3.31,3.13,3.13,4.26,3.75,3.78,10.19,4,9.43,33.62,36.17,32.46
12:45:27 PM,14.59,3.38,3.24,3.2,4.22,3.75,3.78,10.37,4.15,9.57,35.84,38.65,34.53
1:15:27 PM,14.59,3.38,3.28,3.24,4.29,3.82,3.86,10.48,4.04,9.46,38.03,40.68,36.54
1:45:27 PM,14.59,3.42,3.31,3.28,4.33,3.82,3.86,10.63,4.11,9.53,40.25,42.18,37.99
2:15:28 PM,14.59,3.42,3.31,3.28,4.33,3.86,3.89,10.7,4.15,9.57,42.25,44.32,40.03
2:45:27 PM,14.59,3.46,3.31,3.28,4.37,3.86,3.89,10.77,4.18,9.64,44.32,46.36,42.07
3:15:28 PM,14.55,3.46,3.35,3.31,4.4,3.89,3.93,10.81,4.22,9.68,46.47,48.4,44.07
3:45:28 PM,14.55,3.49,3.35,3.31,4.4,3.89,3.93,10.88,4.26,9.72,48.58,49.86,45.74
4:15:28 PM,14.55,3.49,3.35,3.31,4.4,3.89,3.93,10.88,4.29,9.68,50.69,51.97,47.45
4:45:28 PM,14.55,3.49,3.35,3.31,4.44,3.89,3.97,10.88,4.29,9.72,52.8,54,49.42
5:15:28 PM,14.59,3.49,3.35,3.31,4.44,3.93,3.97,10.92,4.33,9.72,54.59,55.53,51.17
5:45:28 PM,14.55,3.49,3.38,3.31,4.44,3.93,4,10.95,4.37,9.75,56.37,57.24,52.51
6:15:28 PM,14.59,3.53,3.38,3.31,4.48,3.97,4,10.99,4.37,9.79,58.41,59.28,54.44
6:45:28 PM,14.59,3.53,3.38,3.35,4.51,3.97,4.04,11.03,4.4,9.83,60.48,61.28,56.37
7:15:28 PM,14.59,3.57,3.38,3.38,4.51,4,4.08,11.06,4.48,9.86,62.48,62.56,57.79
7:45:28 PM,14.59,3.57,3.42,3.38,4.55,4,4.08,11.1,4.48,9.9,64.45,64.56,59.57
8:15:28 PM,14.59,3.57,3.42,3.35,4.55,4,4.08,11.1,4.48,9.86,66.38,66.49,61.39
8:45:28 PM,14.59,3.57,3.42,3.38,4.55,4,4.08,11.14,4.51,9.9,68.16,67.69,62.66
9:15:28 PM,14.59,3.6,3.42,3.38,4.55,4.04,4.11,11.17,4.55,9.93,69.58,69.69,64.41
9:45:28 PM,14.59,3.6,3.46,3.42,4.59,4.04,4.11,11.17,4.55,9.97,71.4,71.51,66.16
10:15:28 PM,14.59,3.6,3.46,3.42,4.62,4.08,4.15,11.21,4.59,10.15,73.25,72.67,67.25
10:45:28 PM,14.59,3.64,3.46,3.46,4.62,4.08,4.15,11.24,4.62,10.26,74.93,74.56,69.07
11:15:28 PM,14.55,3.64,3.46,3.42,4.62,4.08,4.15,11.24,4.62,10.3,76.13,76.24,70.82
11:45:28 PM,14.55,3.64,3.49,3.42,4.62,4.11,4.18,11.28,4.66,10.33,77.8,77.48,71.84
12:15:28 AM,14.55,3.64,3.49,3.46,4.66,4.11,4.18,11.32,4.66,10.37,79.44,79.3,73.55
