actual_day,bottle,treatment,vs_in,vs_s,vs_fed,daily_biogas,methane_v_frac,daily_methane,cumu_methane
1,1,Inoculum,7,0,7,3.2100961797003515,0.339941616,1.091245282842764,1.091245282842764
2,1,Inoculum,7,0,7,0.797458576506056,0.679883232,0.5421787143810566,1.6334239972238205
3,1,Inoculum,7,0,7,0.54388741123178,0.725434249,0.39455455570748044,2.027978552931301
4,1,Inoculum,7,0,7,0.4639601803856115,0.770985266,0.35770646308800863,2.3856850160193095
5,1,Inoculum,7,0,7,0.3364116411103417,0.7833791831666667,0.2635378766207773,2.6492228926400867
6,1,Inoculum,7,0,7,0.3368426144562484,0.7957731003333333,0.26805029163023447,2.917273184270321
7,1,Inoculum,7,0,7,0.4295572900052891,0.8081670175,0.34715403390895705,3.264427218179278
8,1,Inoculum,7,0,7,0.2427413580580957,0.8205609346666667,0.19918407565040702,3.4636112938296852
9,1,Inoculum,7,0,7,0.6355684765699019,0.8329548518333333,0.5293998462312199,3.993011140060905
10,1,Inoculum,7,0,7,0.080378678345145,0.845348769,0.06794801679291529,4.06095915685382
11,1,Inoculum,7,0,7,0.25353158666258935,0.84880198325,0.21519811357572508,4.276157270429545
12,1,Inoculum,7,0,7,0.04629307097702373,0.8522551975,0.03945351034840488,4.31561078077795
13,1,Inoculum,7,0,7,0.12671365628033282,0.85570841175,0.10842994156267902,4.424040722340629
14,1,Inoculum,7,0,7,0.1613842334602822,0.859161626,0.13865514043049965,4.562695862771129
15,1,Inoculum,7,0,7,-0.25436744911595355,0.8590137983333334,0,4.562695862771129
16,1,Inoculum,7,0,7,0.4742387800933878,0.8588659706666667,0.40730755019268344,4.970003412963813
17,1,Inoculum,7,0,7,1.281146390947896e-4,0.858718143,1.1001436497459293e-4,4.970113427328787
18,1,Inoculum,7,0,7,0.03464004148193922,0.85958399875,0.02977602537391119,4.999889452702698
19,1,Inoculum,7,0,7,0.1270759599259259,0.8604498545,0.10934249122871077,5.109231943931409
20,1,Inoculum,7,0,7,0.41521567402170056,0.86131571025,0.3576317831769335,5.4668637271083425
21,1,Inoculum,7,0,7,0.34697590976028714,0.862181566,0.29915623324139906,5.766019960349741
22,1,Inoculum,7,0,7,-0.09248887457170696,0.862181566,0,5.766019960349741
