time,0,1,2,3,4,5,6,7,8,9,10,11,12
3:45:27 PM,22.9,23.4,22.6,23,22.4,22.3,23,23.7,23.2,22.7,22.3,22.6,22.9
4:15:27 PM,22.3,23.7,23,23.5,23.2,23,23.7,24.6,23.8,22.9,24.5,23.4,22.7
4:45:27 PM,21.9,24.8,23.5,24,25.1,24.9,24.5,25.9,25.2,23.7,25.5,24.3,24.3
5:15:27 PM,22.6,26,24.8,24.9,26,25.9,25.9,27.1,26.6,24.9,27.3,25.7,25.4
5:45:27 PM,22.6,26.6,24.8,25.7,26.3,26,25.9,27.4,27.1,25.4,28.1,26.2,25.7
6:15:27 PM,22.6,26.3,24.8,26.2,26.5,26,25.9,27.6,27.3,25.5,28.4,26.3,26
6:45:27 PM,22.6,26.2,24.9,26.3,26.5,26.2,26,27.7,27.3,25.7,28.2,26.3,25.9
7:15:27 PM,22.4,26.5,24.8,26.5,26.5,26,25.7,27.6,26.8,25.1,27.4,26,25.5
7:45:27 PM,22.4,26.2,24.8,26.5,26.3,26.2,25.9,27.4,27,25.2,27.9,26,25.5
8:15:27 PM,22.1,26.2,24.6,26.3,26,25.9,25.5,27.1,26.6,24.8,27.3,25.7,25.2
8:45:27 PM,22.4,26,24.6,26.3,26.3,26,25.9,27.4,26.8,25.1,28.1,26,25.5
9:15:27 PM,22.1,26,24.5,26.3,25.9,25.9,25.5,27.1,26.6,24.8,27.6,25.9,25.2
9:45:27 PM,22.4,26,24.6,26.3,26.2,26,25.7,27.3,26.8,25.1,28.1,26.5,25.5
10:15:27 PM,22.6,26,24.8,26.5,26.2,26.2,25.9,27.4,27,25.2,28.2,26.8,25.7
10:45:27 PM,22.6,26,24.8,26.5,26.2,26.2,25.9,27.4,27,25.1,28.5,27,25.9
11:15:27 PM,22.7,26.2,24.8,26.5,26.2,26.3,26,27.6,27.1,25.2,28.7,27.1,25.9
11:45:27 PM,22.7,26.2,24.9,26.5,26.2,26.3,26,27.4,27.1,25.2,28.8,27.1,25.9
12:15:27 AM,22.4,26.5,24.6,26.5,26.2,26,25.7,27.3,26.6,24.6,27.7,26.6,25.4
12:45:27 AM,22.6,26.2,24.8,26.3,26.2,26,25.9,27.4,26.8,25.1,28.4,26.8,25.5
1:15:27 AM,22.3,26.2,24.6,26.2,25.9,25.7,25.5,27.3,26.5,24.8,27.6,26.3,25.1
1:45:27 AM,22.3,26.3,24.6,26.3,26,25.7,25.5,27.4,26.3,24.5,27.4,26.3,25.1
2:15:27 AM,22.4,26,24.6,26.2,25.7,26,25.7,27.1,26.6,24.9,27.9,26.5,25.2
2:45:27 AM,22.6,26,24.6,25.9,26,26,25.9,27.3,26.8,24.9,28.7,26.8,25.4
3:15:27 AM,22.7,26,24.8,25.9,26,26.2,26,27.4,27,25.1,28.8,27,25.7
3:45:27 AM,22.9,26.2,24.9,25.9,26.2,26.3,26.2,27.6,27.1,25.2,29,27.1,25.9
4:15:27 AM,22.4,26.5,24.6,26,26.3,25.9,25.7,27.6,26.5,24.6,27.4,26.3,25.2
4:45:27 AM,22.6,26.5,24.9,26,26.2,26,25.9,27.4,26.6,24.8,27.7,26.5,25.2
5:15:27 AM,22.6,26.3,24.9,26,25.9,26,25.9,27.4,26.6,24.9,27.6,26.3,25.2
5:45:27 AM,22.6,26.2,24.8,26,25.9,25.9,25.9,27.3,26.5,24.8,27.3,26.3,25.1
6:15:27 AM,23,26.3,25.1,26,26.2,26.3,26.2,27.6,27,25.2,28.2,26.8,25.7
6:45:27 AM,23.4,26.6,25.4,26,26.5,26.5,26.3,27.9,27.1,25.5,28.5,27.1,26
7:15:27 AM,22.7,26.6,24.9,26,26.3,26,25.9,27.7,26.3,24.8,27.1,26.3,25.4
7:45:27 AM,22.7,26.6,25.1,26,26.2,26,26,27.7,26.5,24.8,26.8,26.3,25.1
8:15:27 AM,22.7,26.6,25.1,26,26,26,26,27.6,26.5,24.8,27.1,26.5,25.2
8:45:27 AM,22.6,26.5,24.8,26,25.9,25.9,25.9,27.4,26.2,24.6,26.6,26.2,24.9
